file_name,top_k,aac,g3,urs,swope,mi
madelon,1,0.21678871968638447,0.20772641888715881,0.21678871968638447,0.21678871968638447,0.21678871968638447
madelon,2,0.4245151385735433,0.4245151385735433,0.4245151385735433,0.4245151385735433,0.4245151385735433
madelon,3,0.5939004095266736,0.6157389170981045,0.615966469230468,0.615966469230468,0.615966469230468
madelon,4,0.7853517401835983,0.8071902477550292,0.7853517401835983,0.8071902477550292,0.8071902477550292
madelon,5,0.9765755187081595,0.9765755187081595,0.9464505826146734,0.9765755187081595,0.9765755187081595
madelon,6,1.1376743611392346,1.1376743611392346,1.1376743611392346,1.139442583324314,1.139442583324314
madelon,7,1.278751952848678,1.2889763144311566,1.3005414257553891,1.3005414257553891,1.3005414257553891
madelon,8,1.4416190174648325,1.451843379047311,1.451843379047311,1.451843379047311,1.451843379047311
madelon,9,1.5929209707567544,1.579509474169626,1.5929209707567544,1.5929209707567544,1.5929209707567544
madelon,10,1.7112208950981032,1.7205870658790694,1.7112208950981032,1.7205870658790694,1.7205870658790694
