file_name,top_k,aac,g3,urs,swope
madelon,1,1.0,0.9581975445385924,1.0,1.0
madelon,2,1.0,0.9903848485947363,1.0,1.0
madelon,3,0.9751270342325401,0.9922033469374558,1.0,1.0
madelon,4,0.9792082356237953,0.9936105652517597,0.9821167842746891,1.0
madelon,5,0.9957955749709639,0.9943184457965485,0.9786781767926037,1.0
madelon,6,0.9952013446292819,0.9938561607039118,0.9961351763187948,1.0
madelon,7,0.9860768848401638,0.9896812105222951,0.9972685362615763,1.0
madelon,8,0.9918205645974655,0.9951957844853321,0.9974421593535181,1.0
madelon,9,0.9961378494219327,0.9903642056803912,0.9975790787485418,1.0
madelon,10,0.9930486280602346,0.9954617821072382,0.9944257981044345,1.0
